  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 19.03   130.27    130.27   848340     0.15     1.51  COR::ClangDumpTree.construct_tree
 15.51   236.44    106.17   641625     0.17     1.42  COR::ClangDumpTree.parse_tree
 13.62   329.69     93.26  3799510     0.02     1.54  COR::ClangDumpTree.traverse_tree
  9.18   392.54     62.84  4788928     0.01     0.04  COR::ClangDumpTree.parse_token
  9.09   454.78     62.24  1313972     0.05     0.19  COR::ClangDumpTree.print_tree
  5.38   491.60     36.82   777966     0.05     0.14  Array#map
  4.32   521.14     29.55 11341145     0.00     0.00  Array#[]
  4.21   549.97     28.82  2173087     0.01     1.28  Array#each
  3.51   574.02     24.06  1881798     0.01     0.01  String#scan
  2.09   588.36     14.34  5409363     0.00     0.00  Hash#[]
  1.44   598.24      9.88  3848618     0.00     0.00  String#==
  1.28   606.98      8.73   680471     0.01     0.02  String#match
  1.04   614.08      7.10  3006428     0.00     0.00  Fixnum#+
  0.96   620.65      6.57    23850     0.28     0.82  COR::ClangDumpTree.get_name_layer
  0.71   625.54      4.89  2005400     0.00     0.00  Array#<<
  0.67   630.14      4.60  1592602     0.00     0.00  String#+
  0.61   634.33      4.20  1696670     0.00     0.00  String#length
  0.54   638.01      3.68   680471     0.01     0.01  Regexp#match
  0.52   641.54      3.53  1311200     0.00     0.00  String#*
  0.46   644.68      3.14  1311212     0.00     0.00  String#to_s
  0.44   647.66      2.98   162505     0.02     0.02  String#gsub
  0.43   650.63      2.97  1106728     0.00     0.00  Fixnum#==
  0.41   653.43      2.80  1106728     0.00     0.00  Fixnum#/
  0.37   655.98      2.56    64085     0.04     0.09  COR::ClangDumpTree.gen_code
  0.36   658.47      2.49    20797     0.12     0.58  COR::ClangDumpTree.get_current_template
  0.36   660.91      2.43  1106740     0.00     0.00  Fixnum#<
  0.34   663.22      2.32   951776     0.00     0.00  Hash#[]=
  0.29   665.24      2.02     8812     0.23     0.85  COR::ClangDumpTree::TreeData#print_methods
  0.25   666.92      1.68    34465     0.05     0.08  COR::ClangDumpTree.parse_separated
  0.23   668.48      1.55    43498     0.04     0.05  Hash#to_s
  0.22   669.99      1.51    19243     0.08     0.30  COR::ClangDumpTree::TreeData#print_typedefs
  0.22   671.50      1.51   589942     0.00     0.00  Fixnum#*
  0.22   672.98      1.48   602695     0.00     0.00  String#[]
  0.22   674.46      1.48        4   370.25   370.25  Kernel#`
  0.22   675.93      1.47   574463     0.00     0.00  NilClass#to_a
  0.18   677.16      1.22   516813     0.00     0.00  Fixnum#>
  0.17   678.33      1.17    31655     0.04     0.06  Array#join
